Poll,End_Day,Week,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick
NPR/PBS/Marist,132,18,704 RV,24,22,17,4,13,4,5,0,1,1,0
FOX News,132,18,453 RV,30,20,13,5,7,5,3,1,3,1,0
The Hill/HarrisX,135,19,456 RV,29,13,13,5,5,3,3,3,1,1,2
USA Today/Suffolk,135,19,384 LV,23,14,13,6,8,3,2,1,1,0,NA
IBD/TIPP,135,19,312 RV,26,18,14,5,9,2,2,2,1,1,0
CNN,136,19,408 RV,26,20,16,5,8,3,3,1,1,0,0
Quinnipiac,136,19,567 RV,30,16,17,7,9,3,3,1,1,0,0
Politico/Morning Consult,136,19,13384 RV,31,22,15,7,8,2,4,3,2,1,0
Emerson,138,19,525 RV,32,25,12,3,8,2,6,2,4,0,0
NBC News/Wall St. Jrnl,138,19,410 LV,28,21,18,4,9,5,3,1,2,0,0
Economist/YouGov,138,19,555 LV,29,19,17,4,7,4,3,2,3,1,0
Politico/Morning Consult,143,20,7178 RV,31,21,15,6,9,3,5,3,2,1,0
Economist/YouGov,145,20,586 LV,30,17,19,4,7,5,3,1,2,0,0
The Hill/HarrisX,149,21,431 RV,28,16,11,11,6,2,2,2,2,0,0
Harvard-Harris,150,21,756 RV,30,17,12,7,7,2,3,2,1,NA,NA
Politico/Morning Consult,150,21,17787 RV,32,21,14,6,8,3,4,3,1,1,0
Economist/YouGov,152,21,548 RV,29,19,18,3,8,4,3,2,3,0,0
Morning Consult,157,22,17213 RV,31,23,14,7,8,3,4,4,2,1,0
Economist/YouGov,159,22,574 RV,27,20,22,3,7,3,3,2,3,0,0
IBD/TIPP,163,23,333 RV,26,15,20,7,9,3,3,2,1,0,0
Quinnipiac,164,23,651 RV,25,19,16,6,8,4,5,1,1,1,1
Politico/Morning Consult,164,23,17096 RV,29,23,14,8,8,3,5,4,2,1,0
The Hill/HarrisX,166,23,451 RV,29,19,11,7,4,3,2,3,1,2,0
Economist/YouGov,166,23,521 RV,27,20,19,5,7,3,3,1,2,0,0
SurveyUSA,168,24,1086 LV,32,21,14,9,9,2,4,3,2,NA,NA
CNN,171,24,500 RV,24,27,14,5,11,4,4,2,0,0,0
Morning Consult,171,24,12402 LV,29,24,15,10,8,3,4,3,2,1,0
Monmouth,172,24,372 RV,30,23,14,9,6,5,3,1,1,1,0
Economist/YouGov,173,24,470 LV,28,18,21,6,8,4,3,2,3,0,0
The Hill/HarrisX,174,24,878 RV,29,17,9,11,5,2,4,4,2,NA,1
FOX News,174,24,495 LV,26,23,14,10,7,3,5,3,0,0,1
Emerson,175,25,497 LV,30,27,13,7,6,4,8,1,1,1,0
ABC News/Wash Post,175,25,LV,34,22,14,7,4,4,6,1,0,2,1
Morning Consult,178,25,17836 RV,29,23,14,12,7,3,5,3,1,1,0
Quinnipiac,179,25,827 RV,26,21,15,8,6,7,3,2,1,0,0
Economist/YouGov,180,25,591 RV,26,24,20,4,7,4,4,1,3,0,1
LA Times/USC,180,25,2227 LV,34,18,16,9,9,3,2,2,1,NA,NA
Harvard-Harris,181,25,980 RV,31,20,12,13,6,3,3,2,1,NA,NA
NBC News/Wall St. Jrnl,181,25,428 LV,26,27,15,9,7,5,4,2,2,0,1
IBD/TIPP,182,26,336 RV,26,19,13,8,7,3,4,2,1,1,0
Morning Consult,185,26,15259 RV,28,24,14,14,6,3,4,3,2,1,1
Economist/YouGov,187,26,616 RV,24,19,18,9,9,6,3,2,3,1,0
