Candidate,Week,meanPCT,npolls
Biden,8,26.33333333,3
Bloomberg,8,NA,3
Buttigieg,8,5.666666667,3
Gabbard,8,1,3
Klobuchar,8,1,3
Patrick,8,NA,3
Sanders,8,15.66666667,3
Steyer,8,1,3
Warren,8,25.66666667,3
Yang,8,2.666666667,3
Bennet,9,0.666666667,6
Biden,9,28.83333333,6
Bloomberg,9,NA,6
Buttigieg,9,4.833333333,6
Gabbard,9,0.833333333,6
Klobuchar,9,1.5,6
Patrick,9,NA,6
Sanders,9,15.5,6
Steyer,9,0.833333333,6
Warren,9,23.83333333,6
Yang,9,2.666666667,6
Bennet,10,NA,5
Biden,10,29.4,5
Bloomberg,10,NA,5
Buttigieg,10,6.2,5
Gabbard,10,1.2,5
Klobuchar,10,1.8,5
Patrick,10,NA,5
Sanders,10,15.6,5
Steyer,10,1.4,5
Warren,10,24.6,5
Yang,10,2.4,5
Bennet,11,0.666666667,6
Biden,11,27.16666667,6
Bloomberg,11,NA,6
Buttigieg,11,7,6
Gabbard,11,1.333333333,6
Klobuchar,11,2,6
Patrick,11,NA,6
Sanders,11,17.33333333,6
Steyer,11,1,6
Warren,11,21.83333333,6
Yang,11,2.5,6
Bennet,12,0.666666667,6
Biden,12,28.5,6
Bloomberg,12,NA,6
Buttigieg,12,7.666666667,6
Gabbard,12,2.333333333,6
Klobuchar,12,2.5,6
Patrick,12,NA,6
Sanders,12,17,6
Steyer,12,0.833333333,6
Warren,12,21.16666667,6
Yang,12,2.833333333,6
Bennet,13,NA,7
Biden,13,28.14285714,7
Bloomberg,13,NA,7
Buttigieg,13,6.714285714,7
Gabbard,13,1,7
Klobuchar,13,2.428571429,7
Patrick,13,NA,7
Sanders,13,16,7
Steyer,13,1,7
Warren,13,19.57142857,7
Yang,13,2.142857143,7
Bennet,14,0.5,2
Biden,14,27.5,2
Bloomberg,14,NA,2
Buttigieg,14,8.5,2
Gabbard,14,1.5,2
Klobuchar,14,2,2
Patrick,14,NA,2
Sanders,14,18.5,2
Steyer,14,1,2
Warren,14,22.5,2
Yang,14,3.5,2
Bennet,15,0.75,4
Biden,15,29.75,4
Bloomberg,15,NA,4
Buttigieg,15,7.75,4
Gabbard,15,2,4
Klobuchar,15,1.5,4
Patrick,15,NA,4
Sanders,15,19.25,4
Steyer,15,1.25,4
Warren,15,18.5,4
Yang,15,2.75,4
Bennet,16,NA,5
Biden,16,27,5
Bloomberg,16,2.8,5
Buttigieg,16,11.8,5
Gabbard,16,1.2,5
Klobuchar,16,2.4,5
Patrick,16,0.4,5
Sanders,16,16.6,5
Steyer,16,1.6,5
Warren,16,15,5
Yang,16,3.2,5
Bennet,17,NA,4
Biden,17,29,4
Bloomberg,17,5.25,4
Buttigieg,17,9.5,4
Gabbard,17,1.25,4
Klobuchar,17,2.25,4
Patrick,17,NA,4
Sanders,17,16,4
Steyer,17,1.5,4
Warren,17,14,4
Yang,17,2.75,4
Bennet,18,0.833333333,6
Biden,18,27.5,6
Bloomberg,18,4.833333333,6
Buttigieg,18,9.5,6
Gabbard,18,1.833333333,6
Klobuchar,18,3.333333333,6
Patrick,18,0.166666667,6
Sanders,18,19.66666667,6
Steyer,18,1.166666667,6
Warren,18,16.5,6
Yang,18,3.666666667,6
Bennet,19,0.444444444,9
Biden,19,28.22222222,9
Bloomberg,19,5.111111111,9
Buttigieg,19,7.888888889,9
Gabbard,19,1.777777778,9
Klobuchar,19,3,9
Patrick,19,NA,9
Sanders,19,18.66666667,9
Steyer,19,1.777777778,9
Warren,19,15,9
Yang,19,3.222222222,9
Bennet,20,0.5,2
Biden,20,30.5,2
Bloomberg,20,5,2
Buttigieg,20,8,2
Gabbard,20,2,2
Klobuchar,20,4,2
Patrick,20,0,2
Sanders,20,19,2
Steyer,20,2,2
Warren,20,17,2
Yang,20,4,2
Bennet,21,NA,4
Biden,21,29.75,4
Bloomberg,21,6.75,4
Buttigieg,21,7.25,4
Gabbard,21,1.75,4
Klobuchar,21,2.75,4
Patrick,21,NA,4
Sanders,21,18.25,4
Steyer,21,2.25,4
Warren,21,13.75,4
Yang,21,3,4
Bennet,22,0.5,2
Biden,22,29,2
Bloomberg,22,5,2
Buttigieg,22,7.5,2
Gabbard,22,2.5,2
Klobuchar,22,3,2
Patrick,22,0,2
Sanders,22,21.5,2
Steyer,22,3,2
Warren,22,18,2
Yang,22,3.5,2
Bennet,23,0.8,5
Biden,23,27.2,5
Bloomberg,23,6.6,5
Buttigieg,23,7.2,5
Gabbard,23,1.4,5
Klobuchar,23,3.2,5
Patrick,23,0.2,5
Sanders,23,19.2,5
Steyer,23,2.2,5
Warren,23,16,5
Yang,23,3.6,5
Bennet,24,NA,7
Biden,24,28.28571429,7
Bloomberg,24,8.571428571,7
Buttigieg,24,7.714285714,7
Gabbard,24,1.428571429,7
Klobuchar,24,3.285714286,7
Patrick,24,NA,7
Sanders,24,21.85714286,7
Steyer,24,2.571428571,7
Warren,24,14.42857143,7
Yang,24,3.857142857,7
Bennet,25,NA,8
Biden,25,29.5,8
Bloomberg,25,8.625,8
Buttigieg,25,6.5,8
Gabbard,25,1.25,8
Klobuchar,25,4.125,8
Patrick,25,NA,8
Sanders,25,22.75,8
Steyer,25,1.75,8
Warren,25,14.875,8
Yang,25,4.375,8
Bennet,26,1,3
Biden,26,26,3
Bloomberg,26,10.33333333,3
Buttigieg,26,7.333333333,3
Gabbard,26,2,3
Klobuchar,26,4,3
Patrick,26,0.333333333,3
Sanders,26,20.66666667,3
Steyer,26,2.333333333,3
Warren,26,15,3
Yang,26,3.666666667,3
