Poll,End_Day,Sample,Week,Candidate,Percentage
Economist/YouGov,19,RV,2,Sanders,19
Economist/YouGov,19,RV,2,Warren,18
Economist/YouGov,19,RV,2,Bloomberg,NA
Economist/YouGov,19,RV,2,Buttigieg,8
Economist/YouGov,19,RV,2,Klobuchar,0
Economist/YouGov,19,RV,2,Yang,1
Economist/YouGov,19,RV,2,Steyer,0
Economist/YouGov,19,RV,2,Gabbard,2
Economist/YouGov,19,RV,2,Bennet,0
Economist/YouGov,19,RV,2,Patrick,NA
Monmouth,19,298 RV,2,Biden,19
Monmouth,19,298 RV,2,Sanders,20
Monmouth,19,298 RV,2,Warren,20
Monmouth,19,298 RV,2,Bloomberg,NA
Monmouth,19,298 RV,2,Buttigieg,4
Monmouth,19,298 RV,2,Klobuchar,1
Monmouth,19,298 RV,2,Yang,3
Monmouth,19,298 RV,2,Steyer,0
Monmouth,19,298 RV,2,Gabbard,1
Monmouth,19,298 RV,2,Bennet,0
Monmouth,19,298 RV,2,Patrick,NA
The Hill/HarrisX,23,1001 RV,3,Biden,30
The Hill/HarrisX,23,1001 RV,3,Sanders,17
The Hill/HarrisX,23,1001 RV,3,Warren,14
The Hill/HarrisX,23,1001 RV,3,Bloomberg,NA
The Hill/HarrisX,23,1001 RV,3,Buttigieg,4
The Hill/HarrisX,23,1001 RV,3,Klobuchar,1
The Hill/HarrisX,23,1001 RV,3,Yang,2
The Hill/HarrisX,23,1001 RV,3,Steyer,1
The Hill/HarrisX,23,1001 RV,3,Gabbard,1
The Hill/HarrisX,23,1001 RV,3,Bennet,1
The Hill/HarrisX,23,1001 RV,3,Patrick,NA
USA Today/Suffolk,24,424 RV,3,Biden,32
USA Today/Suffolk,24,424 RV,3,Sanders,12
USA Today/Suffolk,24,424 RV,3,Warren,14
USA Today/Suffolk,24,424 RV,3,Bloomberg,NA
USA Today/Suffolk,24,424 RV,3,Buttigieg,6
USA Today/Suffolk,24,424 RV,3,Klobuchar,0
USA Today/Suffolk,24,424 RV,3,Yang,3
USA Today/Suffolk,24,424 RV,3,Steyer,0
USA Today/Suffolk,24,424 RV,3,Gabbard,0
USA Today/Suffolk,24,424 RV,3,Bennet,0
USA Today/Suffolk,24,424 RV,3,Patrick,NA
Politico/Morning Consult,24,17303 RV,3,Biden,33
Politico/Morning Consult,24,17303 RV,3,Sanders,20
Politico/Morning Consult,24,17303 RV,3,Warren,15
Politico/Morning Consult,24,17303 RV,3,Bloomberg,NA
Politico/Morning Consult,24,17303 RV,3,Buttigieg,5
Politico/Morning Consult,24,17303 RV,3,Klobuchar,1
Politico/Morning Consult,24,17303 RV,3,Yang,2
Politico/Morning Consult,24,17303 RV,3,Steyer,1
Politico/Morning Consult,24,17303 RV,3,Gabbard,1
Politico/Morning Consult,24,17303 RV,3,Bennet,1
Politico/Morning Consult,24,17303 RV,3,Patrick,NA
Emerson,25,627 RV,3,Biden,31
Emerson,25,627 RV,3,Sanders,24
Emerson,25,627 RV,3,Warren,15
Emerson,25,627 RV,3,Bloomberg,NA
Emerson,25,627 RV,3,Buttigieg,3
Emerson,25,627 RV,3,Klobuchar,1
Emerson,25,627 RV,3,Yang,4
Emerson,25,627 RV,3,Steyer,0
Emerson,25,627 RV,3,Gabbard,3
Emerson,25,627 RV,3,Bennet,0
Emerson,25,627 RV,3,Patrick,NA
Quinnipiac,25,1422 RV,3,Biden,32
Quinnipiac,25,1422 RV,3,Sanders,15
Quinnipiac,25,1422 RV,3,Warren,19
Quinnipiac,25,1422 RV,3,Bloomberg,NA
Quinnipiac,25,1422 RV,3,Buttigieg,5
Quinnipiac,25,1422 RV,3,Klobuchar,1
Quinnipiac,25,1422 RV,3,Yang,3
Quinnipiac,25,1422 RV,3,Steyer,0
Quinnipiac,25,1422 RV,3,Gabbard,1
Quinnipiac,25,1422 RV,3,Bennet,1
Quinnipiac,25,1422 RV,3,Patrick,NA
Economist/YouGov,26,511 RV,3,Biden,25
Economist/YouGov,26,511 RV,3,Sanders,14
Economist/YouGov,26,511 RV,3,Warren,21
Economist/YouGov,26,511 RV,3,Bloomberg,NA
Economist/YouGov,26,511 RV,3,Buttigieg,5
Economist/YouGov,26,511 RV,3,Klobuchar,1
Economist/YouGov,26,511 RV,3,Yang,2
Economist/YouGov,26,511 RV,3,Steyer,1
Economist/YouGov,26,511 RV,3,Gabbard,2
Economist/YouGov,26,511 RV,3,Bennet,1
Economist/YouGov,26,511 RV,3,Patrick,NA
Harvard-Harris,27,951 RV,3,Biden,32
Harvard-Harris,27,951 RV,3,Sanders,16
Harvard-Harris,27,951 RV,3,Warren,13
Harvard-Harris,27,951 RV,3,Bloomberg,NA
Harvard-Harris,27,951 RV,3,Buttigieg,4
Harvard-Harris,27,951 RV,3,Klobuchar,1
Harvard-Harris,27,951 RV,3,Yang,2
Harvard-Harris,27,951 RV,3,Steyer,1
Harvard-Harris,27,951 RV,3,Gabbard,1
Harvard-Harris,27,951 RV,3,Bennet,NA
Harvard-Harris,27,951 RV,3,Patrick,NA
IBD/TIPP,29,360 RV,4,Biden,28
IBD/TIPP,29,360 RV,4,Sanders,12
IBD/TIPP,29,360 RV,4,Warren,24
IBD/TIPP,29,360 RV,4,Bloomberg,NA
IBD/TIPP,29,360 RV,4,Buttigieg,5
IBD/TIPP,29,360 RV,4,Klobuchar,1
IBD/TIPP,29,360 RV,4,Yang,1
IBD/TIPP,29,360 RV,4,Steyer,0
IBD/TIPP,29,360 RV,4,Gabbard,0
IBD/TIPP,29,360 RV,4,Bennet,0
IBD/TIPP,29,360 RV,4,Patrick,NA
Politico/Morning Consult,31,16736 RV,4,Biden,32
Politico/Morning Consult,31,16736 RV,4,Sanders,20
Politico/Morning Consult,31,16736 RV,4,Warren,16
Politico/Morning Consult,31,16736 RV,4,Bloomberg,NA
Politico/Morning Consult,31,16736 RV,4,Buttigieg,5
Politico/Morning Consult,31,16736 RV,4,Klobuchar,1
Politico/Morning Consult,31,16736 RV,4,Yang,3
Politico/Morning Consult,31,16736 RV,4,Steyer,1
Politico/Morning Consult,31,16736 RV,4,Gabbard,1
Politico/Morning Consult,31,16736 RV,4,Bennet,1
Politico/Morning Consult,31,16736 RV,4,Patrick,NA
Economist/YouGov,33,,4,Biden,26
Economist/YouGov,33,,4,Sanders,14
Economist/YouGov,33,,4,Warren,22
Economist/YouGov,33,,4,Bloomberg,NA
Economist/YouGov,33,,4,Buttigieg,5
Economist/YouGov,33,,4,Klobuchar,0
Economist/YouGov,33,,4,Yang,3
Economist/YouGov,33,,4,Steyer,0
Economist/YouGov,33,,4,Gabbard,3
Economist/YouGov,33,,4,Bennet,1
Economist/YouGov,33,,4,Patrick,NA
ABC News/Wash Post,35,437 RV,5,Biden,29
ABC News/Wash Post,35,437 RV,5,Sanders,19
ABC News/Wash Post,35,437 RV,5,Warren,18
ABC News/Wash Post,35,437 RV,5,Bloomberg,NA
ABC News/Wash Post,35,437 RV,5,Buttigieg,4
ABC News/Wash Post,35,437 RV,5,Klobuchar,2
ABC News/Wash Post,35,437 RV,5,Yang,3
ABC News/Wash Post,35,437 RV,5,Steyer,1
ABC News/Wash Post,35,437 RV,5,Gabbard,2
ABC News/Wash Post,35,437 RV,5,Bennet,0
ABC News/Wash Post,35,437 RV,5,Patrick,NA
The Hill/HarrisX,38,454 RV,5,Biden,27
The Hill/HarrisX,38,454 RV,5,Sanders,15
The Hill/HarrisX,38,454 RV,5,Warren,12
The Hill/HarrisX,38,454 RV,5,Bloomberg,NA
The Hill/HarrisX,38,454 RV,5,Buttigieg,4
The Hill/HarrisX,38,454 RV,5,Klobuchar,1
The Hill/HarrisX,38,454 RV,5,Yang,5
The Hill/HarrisX,38,454 RV,5,Steyer,1
The Hill/HarrisX,38,454 RV,5,Gabbard,1
The Hill/HarrisX,38,454 RV,5,Bennet,1
The Hill/HarrisX,38,454 RV,5,Patrick,NA
Politico/Morning Consult,38,17824 RV,5,Biden,33
Politico/Morning Consult,38,17824 RV,5,Sanders,21
Politico/Morning Consult,38,17824 RV,5,Warren,16
Politico/Morning Consult,38,17824 RV,5,Bloomberg,NA
Politico/Morning Consult,38,17824 RV,5,Buttigieg,5
Politico/Morning Consult,38,17824 RV,5,Klobuchar,1
Politico/Morning Consult,38,17824 RV,5,Yang,3
Politico/Morning Consult,38,17824 RV,5,Steyer,1
Politico/Morning Consult,38,17824 RV,5,Gabbard,1
Politico/Morning Consult,38,17824 RV,5,Bennet,1
Politico/Morning Consult,38,17824 RV,5,Patrick,NA
LA Times/USC,38,2462 LV,5,Biden,28
LA Times/USC,38,2462 LV,5,Sanders,13
LA Times/USC,38,2462 LV,5,Warren,11
LA Times/USC,38,2462 LV,5,Bloomberg,NA
LA Times/USC,38,2462 LV,5,Buttigieg,4
LA Times/USC,38,2462 LV,5,Klobuchar,1
LA Times/USC,38,2462 LV,5,Yang,2
LA Times/USC,38,2462 LV,5,Steyer,0
LA Times/USC,38,2462 LV,5,Gabbard,1
LA Times/USC,38,2462 LV,5,Bennet,0
LA Times/USC,38,2462 LV,5,Patrick,NA
CNN,39,908 RV,5,Biden,24
CNN,39,908 RV,5,Sanders,17
CNN,39,908 RV,5,Warren,18
CNN,39,908 RV,5,Bloomberg,NA
CNN,39,908 RV,5,Buttigieg,6
CNN,39,908 RV,5,Klobuchar,1
CNN,39,908 RV,5,Yang,2
CNN,39,908 RV,5,Steyer,1
CNN,39,908 RV,5,Gabbard,2
CNN,39,908 RV,5,Bennet,1
CNN,39,908 RV,5,Patrick,NA
Reuters/Ipsos,40,RV,5,Biden,22
Reuters/Ipsos,40,RV,5,Sanders,16
Reuters/Ipsos,40,RV,5,Warren,11
Reuters/Ipsos,40,RV,5,Bloomberg,NA
Reuters/Ipsos,40,RV,5,Buttigieg,4
Reuters/Ipsos,40,RV,5,Klobuchar,1
Reuters/Ipsos,40,RV,5,Yang,3
Reuters/Ipsos,40,RV,5,Steyer,1
Reuters/Ipsos,40,RV,5,Gabbard,1
Reuters/Ipsos,40,RV,5,Bennet,0
Reuters/Ipsos,40,RV,5,Patrick,NA
Economist/YouGov,40,1188 RV,5,Biden,26
Economist/YouGov,40,1188 RV,5,Sanders,16
Economist/YouGov,40,1188 RV,5,Warren,26
Economist/YouGov,40,1188 RV,5,Bloomberg,NA
Economist/YouGov,40,1188 RV,5,Buttigieg,6
Economist/YouGov,40,1188 RV,5,Klobuchar,1
Economist/YouGov,40,1188 RV,5,Yang,2
Economist/YouGov,40,1188 RV,5,Steyer,0
Economist/YouGov,40,1188 RV,5,Gabbard,1
Economist/YouGov,40,1188 RV,5,Bennet,1
Economist/YouGov,40,1188 RV,5,Patrick,NA
Politico/Morning Consult,45,7487 RV,6,Biden,32
Politico/Morning Consult,45,7487 RV,6,Sanders,20
Politico/Morning Consult,45,7487 RV,6,Warren,18
Politico/Morning Consult,45,7487 RV,6,Bloomberg,NA
Politico/Morning Consult,45,7487 RV,6,Buttigieg,5
Politico/Morning Consult,45,7487 RV,6,Klobuchar,2
Politico/Morning Consult,45,7487 RV,6,Yang,3
Politico/Morning Consult,45,7487 RV,6,Steyer,1
Politico/Morning Consult,45,7487 RV,6,Gabbard,1
Politico/Morning Consult,45,7487 RV,6,Bennet,0
Politico/Morning Consult,45,7487 RV,6,Patrick,NA
NBC News/Wall St. Jrnl,46,506 RV,6,Biden,31
NBC News/Wall St. Jrnl,46,506 RV,6,Sanders,14
NBC News/Wall St. Jrnl,46,506 RV,6,Warren,25
NBC News/Wall St. Jrnl,46,506 RV,6,Bloomberg,NA
NBC News/Wall St. Jrnl,46,506 RV,6,Buttigieg,7
NBC News/Wall St. Jrnl,46,506 RV,6,Klobuchar,2
NBC News/Wall St. Jrnl,46,506 RV,6,Yang,4
NBC News/Wall St. Jrnl,46,506 RV,6,Steyer,1
NBC News/Wall St. Jrnl,46,506 RV,6,Gabbard,1
NBC News/Wall St. Jrnl,46,506 RV,6,Bennet,1
NBC News/Wall St. Jrnl,46,506 RV,6,Patrick,NA
SurveyUSA,46,1017 LV,6,Biden,33
SurveyUSA,46,1017 LV,6,Sanders,17
SurveyUSA,46,1017 LV,6,Warren,19
SurveyUSA,46,1017 LV,6,Bloomberg,NA
SurveyUSA,46,1017 LV,6,Buttigieg,5
SurveyUSA,46,1017 LV,6,Klobuchar,1
SurveyUSA,46,1017 LV,6,Yang,3
SurveyUSA,46,1017 LV,6,Steyer,NA
SurveyUSA,46,1017 LV,6,Gabbard,NA
SurveyUSA,46,1017 LV,6,Bennet,NA
SurveyUSA,46,1017 LV,6,Patrick,NA
FOX News,47,RV,6,Biden,29
FOX News,47,RV,6,Sanders,18
FOX News,47,RV,6,Warren,16
FOX News,47,RV,6,Bloomberg,NA
FOX News,47,RV,6,Buttigieg,5
FOX News,47,RV,6,Klobuchar,2
FOX News,47,RV,6,Yang,2
FOX News,47,RV,6,Steyer,1
FOX News,47,RV,6,Gabbard,0
FOX News,47,RV,6,Bennet,1
FOX News,47,RV,6,Patrick,NA
Economist/YouGov,47,567 RV,6,Biden,26
Economist/YouGov,47,567 RV,6,Sanders,14
Economist/YouGov,47,567 RV,6,Warren,21
Economist/YouGov,47,567 RV,6,Bloomberg,NA
Economist/YouGov,47,567 RV,6,Buttigieg,9
Economist/YouGov,47,567 RV,6,Klobuchar,1
Economist/YouGov,47,567 RV,6,Yang,3
Economist/YouGov,47,567 RV,6,Steyer,0
Economist/YouGov,47,567 RV,6,Gabbard,2
Economist/YouGov,47,567 RV,6,Bennet,1
Economist/YouGov,47,567 RV,6,Patrick,NA
The Hill/HarrisX,51,440 RV,7,Biden,31
The Hill/HarrisX,51,440 RV,7,Sanders,16
The Hill/HarrisX,51,440 RV,7,Warren,14
The Hill/HarrisX,51,440 RV,7,Bloomberg,NA
The Hill/HarrisX,51,440 RV,7,Buttigieg,5
The Hill/HarrisX,51,440 RV,7,Klobuchar,2
The Hill/HarrisX,51,440 RV,7,Yang,2
The Hill/HarrisX,51,440 RV,7,Steyer,1
The Hill/HarrisX,51,440 RV,7,Gabbard,1
The Hill/HarrisX,51,440 RV,7,Bennet,1
The Hill/HarrisX,51,440 RV,7,Patrick,NA
Politico/Morning Consult,52,17377 RV,7,Biden,32
Politico/Morning Consult,52,17377 RV,7,Sanders,19
Politico/Morning Consult,52,17377 RV,7,Warren,20
Politico/Morning Consult,52,17377 RV,7,Bloomberg,NA
Politico/Morning Consult,52,17377 RV,7,Buttigieg,5
Politico/Morning Consult,52,17377 RV,7,Klobuchar,2
Politico/Morning Consult,52,17377 RV,7,Yang,3
Politico/Morning Consult,52,17377 RV,7,Steyer,1
Politico/Morning Consult,52,17377 RV,7,Gabbard,1
Politico/Morning Consult,52,17377 RV,7,Bennet,1
Politico/Morning Consult,52,17377 RV,7,Patrick,NA
Emerson,53,1019 RV,7,Biden,25
Emerson,53,1019 RV,7,Sanders,22
Emerson,53,1019 RV,7,Warren,23
Emerson,53,1019 RV,7,Bloomberg,NA
Emerson,53,1019 RV,7,Buttigieg,6
Emerson,53,1019 RV,7,Klobuchar,0
Emerson,53,1019 RV,7,Yang,8
Emerson,53,1019 RV,7,Steyer,0
Emerson,53,1019 RV,7,Gabbard,1
Emerson,53,1019 RV,7,Bennet,0
Emerson,53,1019 RV,7,Patrick,NA
Quinnipiac,53,561 RV,7,Biden,25
Quinnipiac,53,561 RV,7,Sanders,16
Quinnipiac,53,561 RV,7,Warren,27
Quinnipiac,53,561 RV,7,Bloomberg,NA
Quinnipiac,53,561 RV,7,Buttigieg,7
Quinnipiac,53,561 RV,7,Klobuchar,2
Quinnipiac,53,561 RV,7,Yang,2
Quinnipiac,53,561 RV,7,Steyer,0
Quinnipiac,53,561 RV,7,Gabbard,1
Quinnipiac,53,561 RV,7,Bennet,1
Quinnipiac,53,561 RV,7,Patrick,NA
Economist/YouGov,54,1198 RV,7,Biden,26
Economist/YouGov,54,1198 RV,7,Sanders,16
Economist/YouGov,54,1198 RV,7,Warren,27
Economist/YouGov,54,1198 RV,7,Bloomberg,NA
Economist/YouGov,54,1198 RV,7,Buttigieg,6
Economist/YouGov,54,1198 RV,7,Klobuchar,1
Economist/YouGov,54,1198 RV,7,Yang,2
Economist/YouGov,54,1198 RV,7,Steyer,0
Economist/YouGov,54,1198 RV,7,Gabbard,1
Economist/YouGov,54,1198 RV,7,Bennet,1
Economist/YouGov,54,1198 RV,7,Patrick,NA
Harvard-Harris,54,2009 RV,7,Biden,28
Harvard-Harris,54,2009 RV,7,Sanders,16
Harvard-Harris,54,2009 RV,7,Warren,17
Harvard-Harris,54,2009 RV,7,Bloomberg,NA
Harvard-Harris,54,2009 RV,7,Buttigieg,3
Harvard-Harris,54,2009 RV,7,Klobuchar,1
Harvard-Harris,54,2009 RV,7,Yang,3
Harvard-Harris,54,2009 RV,7,Steyer,2
Harvard-Harris,54,2009 RV,7,Gabbard,1
Harvard-Harris,54,2009 RV,7,Bennet,NA
Harvard-Harris,54,2009 RV,7,Patrick,NA
Monmouth,59,434 RV,8,Biden,25
Monmouth,59,434 RV,8,Sanders,15
Monmouth,59,434 RV,8,Warren,28
Monmouth,59,434 RV,8,Bloomberg,NA
Monmouth,59,434 RV,8,Buttigieg,5
Monmouth,59,434 RV,8,Klobuchar,1
Monmouth,59,434 RV,8,Yang,2
Monmouth,59,434 RV,8,Steyer,1
Monmouth,59,434 RV,8,Gabbard,0
Monmouth,59,434 RV,8,Bennet,0
Monmouth,59,434 RV,8,Patrick,NA
Politico/Morning Consult,59,16274 RV,8,Biden,32
Politico/Morning Consult,59,16274 RV,8,Sanders,19
Politico/Morning Consult,59,16274 RV,8,Warren,21
Politico/Morning Consult,59,16274 RV,8,Bloomberg,NA
Politico/Morning Consult,59,16274 RV,8,Buttigieg,5
Politico/Morning Consult,59,16274 RV,8,Klobuchar,1
Politico/Morning Consult,59,16274 RV,8,Yang,3
Politico/Morning Consult,59,16274 RV,8,Steyer,1
Politico/Morning Consult,59,16274 RV,8,Gabbard,1
Politico/Morning Consult,59,16274 RV,8,Bennet,1
Politico/Morning Consult,59,16274 RV,8,Patrick,NA
Economist/YouGov,61,1087 RV,8,Biden,22
Economist/YouGov,61,1087 RV,8,Sanders,13
Economist/YouGov,61,1087 RV,8,Warren,28
Economist/YouGov,61,1087 RV,8,Bloomberg,NA
Economist/YouGov,61,1087 RV,8,Buttigieg,7
Economist/YouGov,61,1087 RV,8,Klobuchar,1
Economist/YouGov,61,1087 RV,8,Yang,3
Economist/YouGov,61,1087 RV,8,Steyer,1
Economist/YouGov,61,1087 RV,8,Gabbard,2
Economist/YouGov,61,1087 RV,8,Bennet,2
Economist/YouGov,61,1087 RV,8,Patrick,NA
IBD/TIPP,63,341 RV,9,Biden,26
IBD/TIPP,63,341 RV,9,Sanders,10
IBD/TIPP,63,341 RV,9,Warren,27
IBD/TIPP,63,341 RV,9,Bloomberg,NA
IBD/TIPP,63,341 RV,9,Buttigieg,7
IBD/TIPP,63,341 RV,9,Klobuchar,1
IBD/TIPP,63,341 RV,9,Yang,3
IBD/TIPP,63,341 RV,9,Steyer,0
IBD/TIPP,63,341 RV,9,Gabbard,1
IBD/TIPP,63,341 RV,9,Bennet,0
IBD/TIPP,63,341 RV,9,Patrick,NA
Politico/Morning Consult,66,16529 RV,9,Biden,33
Politico/Morning Consult,66,16529 RV,9,Sanders,19
Politico/Morning Consult,66,16529 RV,9,Warren,21
Politico/Morning Consult,66,16529 RV,9,Bloomberg,NA
Politico/Morning Consult,66,16529 RV,9,Buttigieg,5
Politico/Morning Consult,66,16529 RV,9,Klobuchar,1
Politico/Morning Consult,66,16529 RV,9,Yang,3
Politico/Morning Consult,66,16529 RV,9,Steyer,1
Politico/Morning Consult,66,16529 RV,9,Gabbard,1
Politico/Morning Consult,66,16529 RV,9,Bennet,1
Politico/Morning Consult,66,16529 RV,9,Patrick,NA
The Hill/HarrisX,67,446 RV,9,Biden,31
The Hill/HarrisX,67,446 RV,9,Sanders,17
The Hill/HarrisX,67,446 RV,9,Warren,15
The Hill/HarrisX,67,446 RV,9,Bloomberg,NA
The Hill/HarrisX,67,446 RV,9,Buttigieg,4
The Hill/HarrisX,67,446 RV,9,Klobuchar,2
The Hill/HarrisX,67,446 RV,9,Yang,2
The Hill/HarrisX,67,446 RV,9,Steyer,2
The Hill/HarrisX,67,446 RV,9,Gabbard,1
The Hill/HarrisX,67,446 RV,9,Bennet,1
The Hill/HarrisX,67,446 RV,9,Patrick,NA
Quinnipiac,67,646 RV,9,Biden,26
Quinnipiac,67,646 RV,9,Sanders,16
Quinnipiac,67,646 RV,9,Warren,29
Quinnipiac,67,646 RV,9,Bloomberg,NA
Quinnipiac,67,646 RV,9,Buttigieg,4
Quinnipiac,67,646 RV,9,Klobuchar,2
Quinnipiac,67,646 RV,9,Yang,3
Quinnipiac,67,646 RV,9,Steyer,0
Quinnipiac,67,646 RV,9,Gabbard,0
Quinnipiac,67,646 RV,9,Bennet,1
Quinnipiac,67,646 RV,9,Patrick,NA
Economist/YouGov,68,1241RV 2.9,9,Biden,25
Economist/YouGov,68,1241RV 2.9,9,Sanders,14
Economist/YouGov,68,1241RV 2.9,9,Warren,29
