Poll,End_Day,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick
Quinnipiac,73,RV,27,11,30,NA,8,2,2,2,0,1,NA
Economist/YouGov,75,1136 RV,25,13,29,NA,7,2,2,1,3,1,NA
Politico/Morning Consult,76,2202 RV,31,18,21,NA,6,2,3,2,1,1,NA
SurveyUSA,76,1071 LV,32,17,22,NA,5,2,2,1,1,NA,NA
CNN,80,424 RV,34,16,19,NA,6,3,2,1,1,1,NA
Politico/Morning Consult,80,11521 RV,30,18,21,NA,6,2,3,1,1,1,NA
Emerson,81,430 RV,27,25,21,NA,6,1,4,1,3,0,NA
Quinnipiac,81,713 RV,21,15,28,NA,10,3,1,1,1,0,NA
The Hill/HarrisX,82,1001 RV,27,14,19,NA,6,1,2,1,0,1,NA
Economist/YouGov,82,1204 RV,24,16,23,NA,8,2,3,1,2,1,NA
USA Today/Suffolk,86,1000 RV,26,13,17,NA,10,2,3,1,4,0,NA
Politico/Morning Consult,87,15431 RV,32,20,20,NA,7,2,3,1,2,1,NA
Economist/YouGov,89,597 RV,27,14,23,NA,7,2,3,1,2,1,NA
NBC News/Wall St. Jrnl,90,414 RV,27,19,23,NA,6,5,3,0,2,1,NA
ABC News/Wash Post,90,452 RV,28,17,23,NA,9,2,2,1,2,1,NA
FOX News,90,471 RV,31,19,21,NA,7,2,3,1,2,0,NA
Harvard-Harris,91,RV,33,18,15,NA,4,3,2,1,0,NA,NA
IBD/TIPP,91,361 RV,29,13,23,NA,7,3,3,1,0,0,NA
The Hill/HarrisX,93,429 RV,26,14,15,NA,6,3,1,1,1,1,NA
Monmouth,94,RV,23,20,23,NA,9,2,3,1,0,0,NA
Politico/Morning Consult,94,16071 RV,32,20,20,NA,7,2,3,1,2,1,NA
LA Times/USC,94,2599 LV,28,13,16,NA,6,2,2,1,1,0,NA
Economist/YouGov,96,1201 RV,26,14,25,NA,8,2,1,1,3,0,NA
Politico/Morning Consult,101,16400 RV,32,20,19,2,8,2,3,1,1,1,NA
Economist/YouGov,103,600 LV,23,17,26,NA,9,2,4,1,2,0,NA
The Hill/HarrisX,108,449 RV,30,18,15,3,7,1,2,1,1,1,NA
Politico/Morning Consult,108,17050 RV,32,20,17,3,8,2,3,1,2,1,NA
Economist/YouGov,110,586 RV,30,12,22,NA,9,2,2,1,3,1,NA
Emerson,111,468 RV,27,27,20,1,7,1,4,2,2,0,NA
SurveyUSA,112,1088 LV,30,17,15,3,11,2,4,2,1,NA,1
CNN,115,431 RV,28,17,14,3,11,2,3,3,0,0,0
Politico/Morning Consult,115,8102 RV,30,21,15,2,9,2,4,2,2,1,0
Quinnipiac,116,1355 RV,24,13,14,3,16,3,2,0,1,2,0
Economist/YouGov,117,550 RV,23,15,17,3,12,3,3,1,2,0,1
Harvard-Harris,120,756 RV,29,16,13,7,8,2,3,2,1,NA,NA
The Hill/HarrisX,122,437 RV,31,15,10,6,9,2,2,2,0,1,1
Politico/Morning Consult,122,15773 RV,29,20,15,5,9,2,4,2,2,1,0
Economist/YouGov,124,541 LV,27,13,18,3,12,3,2,0,2,1,1
Monmouth,129,384 RV,26,21,17,5,8,4,3,1,0,0,1
Politico/Morning Consult,129,15442 RV,30,22,16,6,9,2,4,3,2,1,0
Quinnipiac,130,665 RV,29,17,15,5,9,3,4,1,2,1,0
Economist/YouGov,131,497 LV,26,16,21,4,11,2,3,1,3,1,0
NPR/PBS/Marist,132,704 RV,24,22,17,4,13,4,5,0,1,1,0
FOX News,132,453 RV,30,20,13,5,7,5,3,1,3,1,0
The Hill/HarrisX,135,456 RV,29,13,13,5,5,3,3,3,1,1,2
USA Today/Suffolk,135,384 LV,23,14,13,6,8,3,2,1,1,0,NA
IBD/TIPP,135,312 RV,26,18,14,5,9,2,2,2,1,1,0
CNN,136,408 RV,26,20,16,5,8,3,3,1,1,0,0
Quinnipiac,136,567 RV,30,16,17,7,9,3,3,1,1,0,0
Politico/Morning Consult,136,13384 RV,31,22,15,7,8,2,4,3,2,1,0
Emerson,138,525 RV,32,25,12,3,8,2,6,2,4,0,0
NBC News/Wall St. Jrnl,138,410 LV,28,21,18,4,9,5,3,1,2,0,0
Economist/YouGov,138,555 LV,29,19,17,4,7,4,3,2,3,1,0
Politico/Morning Consult,143,7178 RV,31,21,15,6,9,3,5,3,2,1,0
Economist/YouGov,145,586 LV,30,17,19,4,7,5,3,1,2,0,0
The Hill/HarrisX,149,431 RV,28,16,11,11,6,2,2,2,2,0,0
Harvard-Harris,150,756 RV,30,17,12,7,7,2,3,2,1,NA,NA
Politico/Morning Consult,150,17787 RV,32,21,14,6,8,3,4,3,1,1,0
Economist/YouGov,152,548 RV,29,19,18,3,8,4,3,2,3,0,0
Morning Consult,157,17213 RV,31,23,14,7,8,3,4,4,2,1,0
Economist/YouGov,159,574 RV,27,20,22,3,7,3,3,2,3,0,0
IBD/TIPP,163,333 RV,26,15,20,7,9,3,3,2,1,0,0
Quinnipiac,164,651 RV,25,19,16,6,8,4,5,1,1,1,1
Politico/Morning Consult,164,17096 RV,29,23,14,8,8,3,5,4,2,1,0
The Hill/HarrisX,166,451 RV,29,19,11,7,4,3,2,3,1,2,0
Economist/YouGov,166,521 RV,27,20,19,5,7,3,3,1,2,0,0
SurveyUSA,168,1086 LV,32,21,14,9,9,2,4,3,2,NA,NA
CNN,171,500 RV,24,27,14,5,11,4,4,2,0,0,0
Morning Consult,171,12402 LV,29,24,15,10,8,3,4,3,2,1,0
Monmouth,172,372 RV,30,23,14,9,6,5,3,1,1,1,0
Economist/YouGov,173,470 LV,28,18,21,6,8,4,3,2,3,0,0
The Hill/HarrisX,174,878 RV,29,17,9,11,5,2,4,4,2,NA,1
FOX News,174,495 LV,26,23,14,10,7,3,5,3,0,0,1
Emerson,175,497 LV,30,27,13,7,6,4,8,1,1,1,0
ABC News/Wash Post,175,LV,34,22,14,7,4,4,6,1,0,2,1
Morning Consult,178,17836 RV,29,23,14,12,7,3,5,3,1,1,0
Quinnipiac,179,827 RV,26,21,15,8,6,7,3,2,1,0,0
Economist/YouGov,180,591 RV,26,24,20,4,7,4,4,1,3,0,1
LA Times/USC,180,2227 LV,34,18,16,9,9,3,2,2,1,NA,NA
Harvard-Harris,181,980 RV,31,20,12,13,6,3,3,2,1,NA,NA
NBC News/Wall St. Jrnl,181,428 LV,26,27,15,9,7,5,4,2,2,0,1
IBD/TIPP,182,336 RV,26,19,13,8,7,3,4,2,1,1,0
Morning Consult,185,15259 RV,28,24,14,14,6,3,4,3,2,1,1
Economist/YouGov,187,616 RV,24,19,18,9,9,6,3,2,3,1,0
