Poll,Dates,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick
LA Times/USC,08/12/19-09/08/19,2462 LV,28,13,11,NA,4,1,2,0,1,0,NA
IBD/TIPP,08/22/19-08/30/19,360 RV,28,12,24,NA,5,1,1,0,0,0,NA
Economist/YouGov,08/24/19-08/27/19,511 RV,25,14,21,NA,5,1,2,1,2,1,NA
Harvard-Harris,08/26/19-08/28/19,951 RV,32,16,13,NA,4,1,2,1,1,NA,NA
Politico/Morning Consult,08/26/19-09/01/19,16736 RV,32,20,16,NA,5,1,3,1,1,1,NA
Economist/YouGov,09/01/19-09/03/19,,26,14,22,NA,5,0,3,0,3,1,NA
ABC News/Wash Post,09/02/19-09/05/19,437 RV,29,19,18,NA,4,2,3,1,2,0,NA
Politico/Morning Consult,09/02/19-09/08/19,17824 RV,33,21,16,NA,5,1,3,1,1,1,NA
CNN,09/05/19-09/09/19,908 RV,24,17,18,NA,6,1,2,1,2,1,NA
The Hill/HarrisX,09/07/19-09/08/19,454 RV,27,15,12,NA,4,1,5,1,1,1,NA
Economist/YouGov,09/08/19-09/10/19,1188 RV,26,16,26,NA,6,1,2,0,1,1,NA
Reuters/Ipsos,09/09/19-09/10/19,RV,22,16,11,NA,4,1,3,1,1,0,NA
Politico/Morning Consult,09/13/19-09/15/19,7487 RV,32,20,18,NA,5,2,3,1,1,0,NA
SurveyUSA,09/13/19-09/16/19,1017 LV,33,17,19,NA,5,1,3,NA,NA,NA,NA
NBC News/Wall St. Jrnl,09/13/19-09/16/19,506 RV,31,14,25,NA,7,2,4,1,1,1,NA
Economist/YouGov,09/14/19-09/17/19,567 RV,26,14,21,NA,9,1,3,0,2,1,NA
FOX News,09/15/19-09/17/19,RV,29,18,16,NA,5,2,2,1,0,1,NA
Politico/Morning Consult,09/16/19-09/22/19,17377 RV,32,19,20,NA,5,2,3,1,1,1,NA
The Hill/HarrisX,09/20/19-09/21/19,440 RV,31,16,14,NA,5,2,2,1,1,1,NA
Quinnipiac,09/19/19-09/23/19,561 RV,25,16,27,NA,7,2,2,0,1,1,NA
Emerson,09/21/19-09/23/19,1019 RV,25,22,23,NA,6,0,8,0,1,0,NA
Harvard-Harris,09/22/19-09/24/19,2009 RV,28,16,17,NA,3,1,3,2,1,NA,NA
Economist/YouGov,09/22/19-09/24/19,1198 RV,26,16,27,NA,6,1,2,0,1,1,NA
Politico/Morning Consult,09/23/19-09/29/19,16274 RV,32,19,21,NA,5,1,3,1,1,1,NA
Monmouth,09/23/19-09/29/19,434 RV,25,15,28,NA,5,1,2,1,0,0,NA
Economist/YouGov,09/28/19-10/01/19,1087 RV,22,13,28,NA,7,1,3,1,2,2,NA
IBD/TIPP,09/26/19-10/03/19,341 RV,26,10,27,NA,7,1,3,0,1,0,NA
Politico/Morning Consult,09/30/19-10/06/19,16529 RV,33,19,21,NA,5,1,3,1,1,1,NA
Quinnipiac,10/04/19-10/07/19,646 RV,26,16,29,NA,4,2,3,0,0,1,NA
The Hill/HarrisX,10/06/19-10/07/19,446 RV,31,17,15,NA,4,2,2,2,1,1,NA
FOX News,10/06/19-10/08/19,,32,17,22,NA,4,2,2,1,1,1,NA
Economist/YouGov,10/06/19-10/08/19,1241RV 2.9,25,14,29,NA,5,1,3,1,1,0,NA
Politico/Morning Consult,10/07/19-10/12/19,15683 RV,32,19,21,NA,5,1,3,1,1,1,NA
Quinnipiac,10/11/19-10/13/19,RV,27,11,30,NA,8,2,2,2,0,1,NA
Economist/YouGov,10/13/19-10/15/19,1136 RV,25,13,29,NA,7,2,2,1,3,1,NA
SurveyUSA,10/15/19-10/16/19,1071 LV,32,17,22,NA,5,2,2,1,1,NA,NA
Politico/Morning Consult,10/16/19-10/16/19,2202 RV,31,18,21,NA,6,2,3,2,1,1,NA
Politico/Morning Consult,10/16/19-10/20/19,11521 RV,30,18,21,NA,6,2,3,1,1,1,NA
CNN,10/17/19-10/20/19,424 RV,34,16,19,NA,6,3,2,1,1,1,NA
Quinnipiac,10/17/19-10/21/19,713 RV,21,15,28,NA,10,3,1,1,1,0,NA
Emerson,10/18/19-10/21/19,430 RV,27,25,21,NA,6,1,4,1,3,0,NA
Economist/YouGov,10/20/19-10/22/19,1204 RV,24,16,23,NA,8,2,3,1,2,1,NA
The Hill/HarrisX,10/21/19-10/22/19,1001 RV,27,14,19,NA,6,1,2,1,0,1,NA
Politico/Morning Consult,10/21/19-10/27/19,15431 RV,32,20,20,NA,7,2,3,1,2,1,NA
USA Today/Suffolk,10/23/19-10/26/19,1000 RV,26,13,17,NA,10,2,3,1,4,0,NA
IBD/TIPP,10/24/19-10/31/19,361 RV,29,13,23,NA,7,3,3,1,0,0,NA
LA Times/USC,10/21/19-11/03/19,2599 LV,28,13,16,NA,6,2,2,1,1,0,NA
Economist/YouGov,10/27/19-10/29/19,597 RV,27,14,23,NA,7,2,3,1,2,1,NA
FOX News,10/27/19-10/30/19,471 RV,31,19,21,NA,7,2,3,1,2,0,NA
ABC News/Wash Post,10/27/19-10/30/19,452 RV,28,17,23,NA,9,2,2,1,2,1,NA
NBC News/Wall St. Jrnl,10/27/19-10/30/19,414 RV,27,19,23,NA,6,5,3,0,2,1,NA
Harvard-Harris,10/29/19-10/31/19,RV,33,18,15,NA,4,3,2,1,0,NA,NA
Politico/Morning Consult,10/28/19-11/03/19,16071 RV,32,20,20,NA,7,2,3,1,2,1,NA
The Hill/HarrisX,11/01/19-11/02/19,429 RV,26,14,15,NA,6,3,1,1,1,1,NA
Monmouth,10/30/19-11/03/19,RV,23,20,23,NA,9,2,3,1,0,0,NA
Economist/YouGov,11/03/19-11/05/19,1201 RV,26,14,25,NA,8,2,1,1,3,0,NA
Politico/Morning Consult,11/04/19-11/10/19,16400 RV,32,20,19,2,8,2,3,1,1,1,NA
Economist/YouGov,11/10/19-11/12/19,600 LV,23,17,26,NA,9,2,4,1,2,0,NA
Politico/Morning Consult,11/11/19-11/17/19,17050 RV,32,20,17,3,8,2,3,1,2,1,NA
The Hill/HarrisX,11/16/19-11/17/19,449 RV,30,18,15,3,7,1,2,1,1,1,NA
Economist/YouGov,11/17/19-11/19/19,586 RV,30,12,22,NA,9,2,2,1,3,1,NA
Emerson,11/17/19-11/20/19,468 RV,27,27,20,1,7,1,4,2,2,0,NA
SurveyUSA,11/20/19-11/21/19,1088 LV,30,17,15,3,11,2,4,2,1,NA,1
Politico/Morning Consult,11/21/19-11/24/19,8102 RV,30,21,15,2,9,2,4,2,2,1,0
CNN,11/21/19-11/24/19,431 RV,28,17,14,3,11,2,3,3,0,0,0
Quinnipiac,11/21/19-11/25/19,1355 RV,24,13,14,3,16,3,2,0,1,2,0
Economist/YouGov,11/24/19-11/26/19,550 RV,23,15,17,3,12,3,3,1,2,0,1
Harvard-Harris,11/27/19-11/29/19,756 RV,29,16,13,7,8,2,3,2,1,NA,NA
Politico/Morning Consult,11/25/19-12/01/19,15773 RV,29,20,15,5,9,2,4,2,2,1,0
The Hill/HarrisX,11/30/19-12/01/19,437 RV,31,15,10,6,9,2,2,2,0,1,1
Economist/YouGov,12/01/19-12/03/19,541 LV,27,13,18,3,12,3,2,0,2,1,1
Politico/Morning Consult,12/02/19-12/08/19,15442 RV,30,22,16,6,9,2,4,3,2,1,0
Monmouth,12/04/19-12/08/19,384 RV,26,21,17,5,8,4,3,1,0,0,1
Quinnipiac,12/04/19-12/09/19,665 RV,29,17,15,5,9,3,4,1,2,1,0
Economist/YouGov,12/07/19-12/10/19,497 LV,26,16,21,4,11,2,3,1,3,1,0
IBD/TIPP,12/05/19-12/14/19,312 RV,26,18,14,5,9,2,2,2,1,1,0
FOX News,12/08/19-12/11/19,453 RV,30,20,13,5,7,5,3,1,3,1,0
NPR/PBS/Marist,12/09/19-12/11/19,704 RV,24,22,17,4,13,4,5,0,1,1,0
Politico/Morning Consult,12/09/19-12/15/19,13384 RV,31,22,15,7,8,2,4,3,2,1,0
USA Today/Suffolk,12/10/19-12/14/19,384 LV,23,14,13,6,8,3,2,1,1,0,NA
Quinnipiac,12/11/19-12/15/19,567 RV,30,16,17,7,9,3,3,1,1,0,0
The Hill/HarrisX,12/13/19-12/14/19,456 RV,29,13,13,5,5,3,3,3,1,1,2
CNN,12/12/19-12/15/19,408 RV,26,20,16,5,8,3,3,1,1,0,0
Economist/YouGov,12/14/19-12/17/19,555 LV,29,19,17,4,7,4,3,2,3,1,0
NBC News/Wall St. Jrnl,12/14/19-12/17/19,410 LV,28,21,18,4,9,5,3,1,2,0,0
Emerson,12/15/19-12/17/19,525 RV,32,25,12,3,8,2,6,2,4,0,0
Politico/Morning Consult,12/20/19-12/22/19,7178 RV,31,21,15,6,9,3,5,3,2,1,0
Economist/YouGov,12/22/19-12/24/19,586 LV,30,17,19,4,7,5,3,1,2,0,0
Politico/Morning Consult,12/23/19-12/29/19,17787 RV,32,21,14,6,8,3,4,3,1,1,0
The Hill/HarrisX,12/27/19-12/28/19,431 RV,28,16,11,11,6,2,2,2,2,0,0
Economist/YouGov,12/28/19-12/31/19,548 RV,29,19,18,3,8,4,3,2,3,0,0
Harvard-Harris,12/27/19-12/29/19,756 RV,30,17,12,7,7,2,3,2,1,NA,NA
Morning Consult,12/30/19-01/05/20,17213 RV,31,23,14,7,8,3,4,4,2,1,0
Economist/YouGov,01/05/20-01/07/20,574 RV,27,20,22,3,7,3,3,2,3,0,0
IBD/TIPP,01/03/20-01/11/20,333 RV,26,15,20,7,9,3,3,2,1,0,0
Politico/Morning Consult,01/06/20-01/12/20,17096 RV,29,23,14,8,8,3,5,4,2,1,0
Quinnipiac,01/08/20-01/12/20,651 RV,25,19,16,6,8,4,5,1,1,1,1
Economist/YouGov,01/11/20-01/14/20,521 RV,27,20,19,5,7,3,3,1,2,0,0
The Hill/HarrisX,01/13/20-01/14/20,451 RV,29,19,11,7,4,3,2,3,1,2,0
SurveyUSA,01/14/20-01/16/20,1086 LV,32,21,14,9,9,2,4,3,2,NA,NA
Morning Consult,01/15/20-01/19/20,12402 LV,29,24,15,10,8,3,4,3,2,1,0
CNN,01/16/20-01/19/20,500 RV,24,27,14,5,11,4,4,2,0,0,0
Monmouth,01/16/20-01/20/20,372 RV,30,23,14,9,6,5,3,1,1,1,0
Economist/YouGov,01/19/20-01/21/20,470 LV,28,18,21,6,8,4,3,2,3,0,0
FOX News,01/19/20-01/22/20,495 LV,26,23,14,10,7,3,5,3,0,0,1
The Hill/HarrisX,01/20/20-01/22/20,878 RV,29,17,9,11,5,2,4,4,2,NA,1
ABC News/Wash Post,01/20/20-01/23/20,LV,34,22,14,7,4,4,6,1,0,2,1
LA Times/USC,01/15/20-01/28/20,2227 LV,34,18,16,9,9,3,2,2,1,NA,NA
Emerson,01/21/20-01/23/20,497 LV,30,27,13,7,6,4,8,1,1,1,0
Morning Consult,01/20/20-01/26/20,17836 RV,29,23,14,12,7,3,5,3,1,1,0
Quinnipiac,01/22/20-01/27/20,827 RV,26,21,15,8,6,7,3,2,1,0,0
IBD/TIPP,01/23/20-01/30/20,336 RV,26,19,13,8,7,3,4,2,1,1,0
Economist/YouGov,01/26/20-01/28/20,591 RV,26,24,20,4,7,4,4,1,3,0,1
NBC News/Wall St. Jrnl,01/26/20-01/29/20,428 LV,26,27,15,9,7,5,4,2,2,0,1
Harvard-Harris,01/27/20-01/29/20,980 RV,31,20,12,13,6,3,3,2,1,NA,NA
Morning Consult,01/27/20-02/02/20,15259 RV,28,24,14,14,6,3,4,3,2,1,1
Economist/YouGov,02/02/20-02/04/20,616 RV,24,19,18,9,9,6,3,2,3,1,0
